식별번호,NC,OS,P,S,TS,해당되는 등급
ISM-1428,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1429,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1430,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1431,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1432,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1436,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1437,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1438,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1439,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1446,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1449,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1450,Y,Y,Y,Y,,"NC, OS, P, S"
ISM-1451,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1452,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1453,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1454,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1457,,,,Y,Y,"S, TS"
ISM-1460,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1461,,,,Y,Y,"S, TS"
ISM-1467,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1470,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1471,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1478,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1479,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1480,,,,Y,Y,"S, TS"
ISM-1482,,Y,Y,Y,Y,"OS, P, S, TS"
ISM-1483,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1485,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1486,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1487,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1488,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1489,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1490,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1491,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1492,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1493,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
