식별번호,NC,OS,P,S,TS,해당되는 등급
ISM-1743,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1745,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1746,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1748,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1749,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1750,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1751,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1752,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1753,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1754,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1755,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1756,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1759,,,,Y,Y,"S, TS"
ISM-1761,,,,Y,,S
ISM-1762,,,,,Y,TS
ISM-1763,,,,Y,,S
ISM-1764,,,,,Y,TS
ISM-1765,,,,Y,Y,"S, TS"
ISM-1766,Y,Y,Y,,,"NC, OS, P"
ISM-1767,,,,Y,,S
ISM-1768,,,,,Y,TS
ISM-1769,Y,Y,Y,Y,,"NC, OS, P, S"
ISM-1770,,,,,Y,TS
ISM-1771,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1772,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1773,,,,Y,Y,"S, TS"
ISM-1774,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1778,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1779,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1780,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1781,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1782,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1783,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1784,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1785,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1786,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1787,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1788,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1789,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1790,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1791,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1792,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1793,Y,Y,Y,Y,,"NC, OS, P, S"
ISM-1794,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1795,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1796,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1797,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1798,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1799,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1800,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1801,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1802,,,,Y,Y,"S, TS"
ISM-1803,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1804,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1805,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1806,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1807,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1808,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1809,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1810,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1811,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1812,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1813,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1814,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1815,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1816,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1817,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1818,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1819,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1820,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1821,,,,,Y,TS
ISM-1822,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1823,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1824,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1825,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1826,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1827,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1828,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1829,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1830,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1832,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1833,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1834,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1835,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1836,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1838,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1839,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1840,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1841,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1842,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1843,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1844,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1845,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1846,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1847,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1848,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1849,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1850,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1851,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1852,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1854,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1855,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1858,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1859,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1860,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1861,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1862,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1863,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1864,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1865,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1866,,Y,Y,,,"OS, P"
ISM-1867,,Y,Y,,,"OS, P"
ISM-1868,,,,Y,Y,"S, TS"
ISM-1869,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1870,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1871,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1872,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1873,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1874,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1875,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1876,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1877,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1878,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1879,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1880,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1881,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1882,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1883,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1884,,Y,Y,Y,Y,"OS, P, S, TS"
ISM-1885,,,,Y,Y,"S, TS"
ISM-1886,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1887,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1888,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1889,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1890,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1891,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1892,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1893,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1894,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1895,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1896,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1897,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1898,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1899,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1900,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1901,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1902,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1903,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1904,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1905,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1906,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1907,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1908,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1909,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1910,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1911,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1912,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1913,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1914,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1915,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1916,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1917,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1918,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1919,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1920,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1921,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1922,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1924,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1926,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1927,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1928,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1929,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1930,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1931,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1932,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1933,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1934,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1935,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1936,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1937,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1938,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1939,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1940,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1941,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1942,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1943,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1944,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1945,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1946,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1947,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1948,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1949,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1950,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1951,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1952,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1953,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1954,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1955,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1956,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1957,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1958,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1959,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1960,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1961,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1962,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1963,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1964,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1965,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1966,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1967,,,,,Y,TS
ISM-1968,,,,,Y,TS
ISM-1969,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1970,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1971,,,,,Y,TS
ISM-1972,,,,,Y,TS
ISM-1973,Y,,,,,NC
ISM-1974,Y,,,,,NC
ISM-1975,Y,,,,,NC
ISM-1976,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1977,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1978,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1979,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1980,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1981,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1982,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1983,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1984,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1985,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1986,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1987,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1988,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1989,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1990,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1991,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1992,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1993,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1994,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1995,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1996,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1997,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1998,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1999,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-2000,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-2001,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-2002,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-2003,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-2004,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-2005,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-2006,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-2007,,,,Y,Y,"S, TS"
ISM-2008,,,,Y,Y,"S, TS"
ISM-2009,,,,Y,Y,"S, TS"
ISM-2010,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-2011,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-2012,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-2013,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-2014,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-2015,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-2016,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-2017,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-2018,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-2019,,,,,Y,TS
ISM-2020,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-2021,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-2022,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-2023,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-2024,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-2025,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-2026,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-2027,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-2028,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-2029,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-2030,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-2031,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-2032,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-2033,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-2034,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-2035,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-2036,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-2037,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-2038,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-2039,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-2040,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-2041,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-2042,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-2043,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-2044,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-2045,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-2046,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-2047,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-2048,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-2049,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-2050,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-2051,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-2052,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-2053,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-2054,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-2055,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-2056,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-2057,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-2058,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-2059,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-2060,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-2061,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-2062,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-2063,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-2064,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-2065,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-2066,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-2067,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-2068,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-2069,,,,Y,Y,"S, TS"
ISM-2070,,,,Y,Y,"S, TS"
ISM-2071,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-2072,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-2073,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-2074,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-2075,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-2076,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-2077,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-2078,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-2079,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-2080,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-2081,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-2082,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-2083,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-2084,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-2085,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-2086,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-2087,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-2088,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-2089,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-2090,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-2091,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-2092,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-2093,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-2094,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-2095,,Y,Y,,,"OS, P"
ISM-2096,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-2097,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-2098,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-2099,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-2100,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-2101,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-2102,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-2103,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-2104,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-2105,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-2106,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-2107,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-2108,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-2109,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-2110,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-2111,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-2112,,Y,Y,Y,Y,"OS, P, S, TS"
ISM-2113,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-2114,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-2115,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-2116,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-2117,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-2118,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-2119,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-2120,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-2121,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-2122,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-2123,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-2124,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-2125,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-2126,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-2127,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-2128,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-2129,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-2130,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-2131,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-2132,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-2133,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-2134,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-2135,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-2136,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-2137,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-2138,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-2139,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-2140,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-2141,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-2142,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-2143,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-2144,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-2145,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-2146,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-2147,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-2148,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-2149,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
